P22300	GBRG2_BOVIN	Bos taurus (Bovine)
P10064	GBRA3_BOVIN	Bos taurus (Bovine)
P10063	GBRA2_BOVIN	Bos taurus (Bovine)
P20237	GBRA4_BOVIN	Bos taurus (Bovine)
P08220	GBRB1_BOVIN	Bos taurus (Bovine)
P20236	GBRA3_RAT	Rattus norvegicus (Rat)
P08219	GBRA1_BOVIN	Bos taurus (Bovine)
P50573	GBRR3_RAT	Rattus norvegicus (Rat)
P28473	GBRG3_RAT	Rattus norvegicus (Rat)
P50572	GBRR1_RAT	Rattus norvegicus (Rat)
P47742	GBRR2_RAT	Rattus norvegicus (Rat)
P23574	GBRG1_RAT	Rattus norvegicus (Rat)
P30191	GBRA6_RAT	Rattus norvegicus (Rat)
P63079	GBRB3_RAT	Rattus norvegicus (Rat)
P28471	GBRA4_RAT	Rattus norvegicus (Rat)
P15431	GBRB1_RAT	Rattus norvegicus (Rat)
P19969	GBRA5_RAT	Rattus norvegicus (Rat)
P26049	GBRA3_MOUSE	Mus musculus (Mouse)
P23576	GBRA2_RAT	Rattus norvegicus (Rat)
P26048	GBRA2_MOUSE	Mus musculus (Mouse)
P62813	GBRA1_RAT	Rattus norvegicus (Rat)
P62812	GBRA1_MOUSE	Mus musculus (Mouse)
P27681	GBRG3_MOUSE	Mus musculus (Mouse)
P18508	GBRG2_RAT	Rattus norvegicus (Rat)
P63138	GBRB2_RAT	Rattus norvegicus (Rat)
P22723	GBRG2_MOUSE	Mus musculus (Mouse)
P14867	GBRA1_HUMAN	Homo sapiens (Human)
P47869	GBRA2_HUMAN	Homo sapiens (Human)
P34903	GBRA3_HUMAN	Homo sapiens (Human)
P48169	GBRA4_HUMAN	Homo sapiens (Human)
Q9D6F4	GBRA4_MOUSE	Mus musculus (Mouse)
P31644	GBRA5_HUMAN	Homo sapiens (Human)
Q8BHJ7	GBRA5_MOUSE	Mus musculus (Mouse)
Q16445	GBRA6_HUMAN	Homo sapiens (Human)
P16305	GBRA6_MOUSE	Mus musculus (Mouse)
P50571	GBRB1_MOUSE	Mus musculus (Mouse)
P18505	GBRB1_HUMAN	Homo sapiens (Human)
P47870	GBRB2_HUMAN	Homo sapiens (Human)
P28472	GBRB3_HUMAN	Homo sapiens (Human)
P63080	GBRB3_MOUSE	Mus musculus (Mouse)
P18506	GBRD_RAT	Rattus norvegicus (Rat)
Q75NA5	GBRB_MUSDO	Musca domestica (House fly)
P22933	GBRD_MOUSE	Mus musculus (Mouse)
Q9ES14	GBRE_RAT	Rattus norvegicus (Rat)
P78334	GBRE_HUMAN	Homo sapiens (Human)
O14764	GBRD_HUMAN	Homo sapiens (Human)
Q9R0Y8	GBRG1_MOUSE	Mus musculus (Mouse)
Q8N1C3	GBRG1_HUMAN	Homo sapiens (Human)
P18507	GBRG2_HUMAN	Homo sapiens (Human)
Q99928	GBRG3_HUMAN	Homo sapiens (Human)
Q8QZW7	GBRP_MOUSE	Mus musculus (Mouse)
O00591	GBRP_HUMAN	Homo sapiens (Human)
O09028	GBRP_RAT	Rattus norvegicus (Rat)
P24046	GBRR1_HUMAN	Homo sapiens (Human)
P28476	GBRR2_HUMAN	Homo sapiens (Human)
Q9JLF1	GBRT_MOUSE	Mus musculus (Mouse)
Q9UN88	GBRT_HUMAN	Homo sapiens (Human)
