P31389	HRH1_CAVPO	Cavia porcellus (Guinea pig)
P31390	HRH1_RAT	Rattus norvegicus (Rat)
P70174	HRH1_MOUSE	Mus musculus (Mouse)
P35367	HRH1_HUMAN	Homo sapiens (Human)
