Q00961	NMDE3_RAT	Rattus norvegicus (Rat)
Q62645	NMDE4_RAT	Rattus norvegicus (Rat)
Q8VHN2	NMD3B_RAT	Rattus norvegicus (Rat)
Q01097	NMDE2_MOUSE	Mus musculus (Mouse)
Q91ZU9	NMD3B_MOUSE	Mus musculus (Mouse)
Q03391	NMDE4_MOUSE	Mus musculus (Mouse)
Q01098	NMDE3_MOUSE	Mus musculus (Mouse)
Q00960	NMDE2_RAT	Rattus norvegicus (Rat)
Q9R1M7	NMD3A_RAT	Rattus norvegicus (Rat)
Q00959	NMDE1_RAT	Rattus norvegicus (Rat)
P35436	NMDE1_MOUSE	Mus musculus (Mouse)
O15399	NMDE4_HUMAN	Homo sapiens (Human)
Q14957	NMDE3_HUMAN	Homo sapiens (Human)
P35439	NMDZ1_RAT	Rattus norvegicus (Rat)
O60391	NMD3B_HUMAN	Homo sapiens (Human)
P35438	NMDZ1_MOUSE	Mus musculus (Mouse)
Q13224	NMDE2_HUMAN	Homo sapiens (Human)
Q8TCU5	NMD3A_HUMAN	Homo sapiens (Human)
Q05586	NMDZ1_HUMAN	Homo sapiens (Human)
Q12879	NMDE1_HUMAN	Homo sapiens (Human)
